Isin,Name,Asset,Region,Volatility,Strategy
IE00B5BMR087,iShares Core S&P 500 UCITS ETF USD (Acc),Equity,,18.15,Long-only
IE00B4L5Y983,iShares Core MSCI World UCITS ETF USD (Acc),Equity,World,15.39,Long-only
IE00B3XXRP09,Vanguard S&P 500 UCITS ETF (USD) Distributing,Equity,,18.29,Long-only
IE00B3YCGJ38,Invesco S&P 500 UCITS ETF,Equity,,18.21,Long-only
IE00BKM4GZ66,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),Equity,Emerging Markets,14.22,Long-only
IE0031442068,iShares Core S&P 500 UCITS ETF USD (Dist),Equity,,18.14,Long-only
IE00B579F325,Invesco Physical Gold A,Precious Metals,,14.53,Long-only
IE00B4ND3602,iShares Physical Gold ETC,Precious Metals,,14.5,Long-only
IE00B3RBWM25,Vanguard FTSE All-World UCITS ETF (USD) Distributing,Equity,World,14.23,Long-only
IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc),Equity,World,14.43,Long-only
IE0005042456,iShares Core FTSE 100 UCITS ETF (Dist),Equity,,13.91,Long-only
IE00BFMXXD54,Vanguard S&P 500 UCITS ETF (USD) Accumulating,Equity,,18.24,Long-only
IE00B53SZB19,iShares Nasdaq 100 UCITS ETF (Acc),Equity,,24.22,Long-only
DE000A0S9GB0,Xetra-Gold,Precious Metals,,13.95,Long-only
IE00BK5BQT80,Vanguard FTSE All-World UCITS ETF (USD) Accumulating,Equity,World,14.23,Long-only
IE00B3F81R35,iShares Core EUR Corporate Bond UCITS ETF (Dist),Bonds,World,4.74,Long-only
IE00BJ0KDQ92,Xtrackers MSCI World UCITS ETF 1C,Equity,World,15.37,Long-only
IE00BGSF1X88,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),Bonds,,7.91,Long-only
IE00B6YX5C33,SPDR S&P 500 UCITS ETF (Dist),Equity,,18.2,Long-only
LU0290358497,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,Money Market,Europe,0.17,Long-only
IE00BHZPJ890,iShares MSCI USA ESG Enhanced UCITS ETF USD (Dist),Equity,,18.98,Long-only
IE00B4X9L533,HSBC MSCI World UCITS ETF USD,Equity,World,15.44,Long-only
LU0908500753,Amundi Stoxx Europe 600 UCITS ETF Acc,Equity,Europe,15.35,Long-only
IE00BF4G7076,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),Equity,,18.35,"Long-only, Active"
IE00B3WJKG14,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),Equity,,25.98,Long-only
IE00B1YZSC51,iShares Core MSCI Europe UCITS ETF EUR (Dist),Equity,Europe,14.17,Long-only
IE00BFMNPS42,Xtrackers MSCI USA ESG UCITS ETF 1C,Equity,,19.48,Long-only
IE00B4K48X80,iShares Core MSCI Europe UCITS ETF EUR (Acc),Equity,Europe,14.18,Long-only
IE00BFY0GT14,SPDR MSCI World UCITS ETF,Equity,World,15.39,Long-only
IE00BJ0KDR00,Xtrackers MSCI USA UCITS ETF 1C,Equity,,18.49,Long-only
DE0005933956,iShares EURO STOXX 50 UCITS ETF (DE),Equity,Europe,17.75,Long-only
IE00BFNM3G45,iShares MSCI USA ESG Screened UCITS ETF USD (Acc),Equity,,19.03,Long-only
IE00BYX2JD69,iShares MSCI World SRI UCITS ETF EUR (Acc),Equity,World,15.84,Long-only
IE0032077012,Invesco EQQQ Nasdaq-100 UCITS ETF,Equity,,24.31,Long-only
IE00BLNMYC90,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,Equity,,17.56,Long-only
FR0010315770,Amundi MSCI World II UCITS ETF Dist,Equity,World,14.21,Long-only
IE00BHZPJ908,iShares MSCI USA ESG Enhanced UCITS ETF USD (Acc),Equity,,18.74,Long-only
IE00B0M62Q58,iShares MSCI World UCITS ETF (Dist),Equity,World,15.4,Long-only
IE00BLF7VX27,SPDR Bloomberg SASB U.S. Corporate ESG UCITS ETF,Bonds,World,10.59,Long-only
DE0005933931,iShares Core DAX UCITS ETF (DE),Equity,,17.1,Long-only
IE00B5KQNG97,HSBC S&P 500 UCITS ETF USD,Equity,,18.33,Long-only
DE0002635307,iShares STOXX Europe 600 UCITS ETF (DE),Equity,Europe,14.32,Long-only
IE00B3ZW0K18,iShares S&P 500 EUR Hedged UCITS ETF (Acc),Equity,,17.41,Long-only
IE00BZ02LR44,Xtrackers MSCI World ESG UCITS ETF 1C,Equity,World,16.24,Long-only
IE00BMTX1Y45,iShares S&P 500 Swap UCITS ETF USD (Acc),Equity,,18.21,Long-only
IE0032895942,iShares USD Corporate Bond UCITS ETF (Dist),Bonds,World,11.59,Long-only
LU1781541179,Amundi MSCI World V UCITS ETF Acc,Equity,World,16.52,Long-only
IE00BZCQB185,iShares MSCI India UCITS ETF USD (Acc),Equity,,15.4,Long-only
IE00B66F4759,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),Bonds,World,4.46,Long-only
IE00B3VWN393,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),Bonds,,9.6,Long-only
IE00BTJRMP35,Xtrackers MSCI Emerging Markets UCITS ETF 1C,Equity,Emerging Markets,14.53,Long-only
IE00BF4G6Y48,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),Equity,World,15.4,"Long-only, Active"
IE00BYVJRR92,iShares MSCI USA SRI UCITS ETF USD (Acc),Equity,,18.18,Long-only
LU1135865084,Amundi S&P 500 II UCITS ETF Acc,Equity,,17.4,Long-only
IE00B60SX170,Invesco MSCI USA UCITS ETF,Equity,,18.56,Long-only
LU0490618542,Xtrackers S&P 500 Swap UCITS ETF 1C,Equity,,18.17,Long-only
DE000A2T0VU5,Xtrackers IE Physical Gold ETC Securities,Precious Metals,,14.39,Long-only
IE00B4L5YX21,iShares Core MSCI Japan IMI UCITS ETF,Equity,,19.18,Long-only
IE00B4WXJJ64,iShares Core Euro Government Bond UCITS ETF (Dist),Bonds,Europe,7.26,Long-only
IE00B2NPKV68,iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist),Bonds,Emerging Markets,8.86,Long-only
IE00B60SX394,Invesco MSCI World UCITS ETF Acc,Equity,World,15.42,Long-only
FR0013416716,Amundi Physical Gold ETC (C),Precious Metals,,14.48,Long-only
